base1,quote1,base2,quote2,base3,quote3,min_start_usdt,reason
IP,ETH,IP,USDT,ETH,USDT,0.000000,spot/market/price not ok
MX,ETH,MX,USDT,ETH,USDT,0.000000,spot/market/price not ok
MX,ETH,MX,USDC,ETH,USDC,0.000000,spot/market/price not ok
NMR,ETH,NMR,USDT,ETH,USDT,0.000000,spot/market/price not ok
ETH,USDT,XRP,USDT,XRP,ETH,0.000000,spot/market/price not ok
LINK,ETH,LINK,USDT,ETH,USDT,0.000000,spot/market/price not ok
LINK,ETH,LINK,USDC,ETH,USDC,0.000000,spot/market/price not ok
SNX,ETH,SNX,USDT,ETH,USDT,0.000000,spot/market/price not ok
ETH,USDE,XRP,USDE,XRP,ETH,0.000000,spot/market/price not ok
ETH,USDE,USDE,USDT,ETH,USDT,0.000000,spot/market/price not ok
ETH,EUR,XRP,EUR,XRP,ETH,0.000000,spot/market/price not ok
ETH,EUR,MX,EUR,MX,ETH,0.000000,spot/market/price not ok
ETH,EUR,EUR,USDT,ETH,USDT,0.000000,spot/market/price not ok
ETH,EUR,LINK,EUR,LINK,ETH,0.000000,spot/market/price not ok
ETH,EUR,EUR,USDC,ETH,USDC,0.000000,spot/market/price not ok
ETH,USD1,XRP,USD1,XRP,ETH,0.000000,spot/market/price not ok
ETH,USD1,USD1,USDT,ETH,USDT,0.000000,spot/market/price not ok
ETH,USDC,USDC,USDF,ETH,USDF,0.000000,spot/market/price not ok
ETH,USDC,XRP,USDC,XRP,ETH,0.000000,spot/market/price not ok
ETH,USDC,USDC,USDT,ETH,USDT,0.000000,spot/market/price not ok
ETH,USDF,USDF,USDT,ETH,USDT,0.000000,spot/market/price not ok
RSR,ETH,RSR,USDT,ETH,USDT,0.000000,spot/market/price not ok
OXT,ETH,OXT,USDT,ETH,USDT,0.000000,spot/market/price not ok
UNI,ETH,UNI,USDC,ETH,USDC,0.000000,spot/market/price not ok
UNI,ETH,UNI,USDT,ETH,USDT,0.000000,spot/market/price not ok
SUI,EUR,SUI,USDT,EUR,USDT,0.000000,spot/market/price not ok
SUI,EUR,SUI,USDC,EUR,USDC,0.000000,spot/market/price not ok
KAS,EUR,KAS,USDT,EUR,USDT,0.000000,spot/market/price not ok
KAS,EUR,KAS,USDC,EUR,USDC,0.000000,spot/market/price not ok
SHIB,EUR,SHIB,USDT,EUR,USDT,0.000000,spot/market/price not ok
SHIB,EUR,SHIB,USDC,EUR,USDC,0.000000,spot/market/price not ok
TAO,EUR,TAO,USDT,EUR,USDT,0.000000,spot/market/price not ok
TAO,EUR,TAO,USDC,EUR,USDC,0.000000,spot/market/price not ok
PI,EUR,PI,USDC,EUR,USDC,0.000000,spot/market/price not ok
PI,EUR,PI,USDT,EUR,USDT,0.000000,spot/market/price not ok
TON,EUR,TON,USDT,EUR,USDT,0.000000,spot/market/price not ok
TON,EUR,TON,USDC,EUR,USDC,0.000000,spot/market/price not ok
MX,EUR,MX,USDT,EUR,USDT,0.000000,spot/market/price not ok
MX,EUR,MX,USDC,EUR,USDC,0.000000,spot/market/price not ok
ULTIMA,EUR,ULTIMA,USDT,EUR,USDT,0.000000,spot/market/price not ok
ULTIMA,EUR,ULTIMA,USDC,EUR,USDC,0.000000,spot/market/price not ok
MELANIA,EUR,MELANIA,USDT,EUR,USDT,0.000000,spot/market/price not ok
MELANIA,EUR,MELANIA,USDC,EUR,USDC,0.000000,spot/market/price not ok
RIO,EUR,RIO,USDT,EUR,USDT,0.000000,spot/market/price not ok
RIO,EUR,RIO,USDC,EUR,USDC,0.000000,spot/market/price not ok
EUR,USDT,XRP,USDT,XRP,EUR,0.000000,spot/market/price not ok
EUR,USDT,WIF,USDT,WIF,EUR,0.000000,spot/market/price not ok
LTC,EUR,LTC,USDT,EUR,USDT,0.000000,spot/market/price not ok
LTC,EUR,LTC,USDC,EUR,USDC,0.000000,spot/market/price not ok
EUR,USDC,WIF,USDC,WIF,EUR,0.000000,spot/market/price not ok
EUR,USDC,XRP,USDC,XRP,EUR,0.000000,spot/market/price not ok
EUR,USDC,USDC,USDT,EUR,USDT,0.000000,spot/market/price not ok
SOL,EUR,SOL,USDT,EUR,USDT,0.000000,spot/market/price not ok
SOL,EUR,SOL,USDC,EUR,USDC,0.000000,spot/market/price not ok
LINK,EUR,LINK,USDT,EUR,USDT,0.000000,spot/market/price not ok
LINK,EUR,LINK,USDC,EUR,USDC,0.000000,spot/market/price not ok
TRUMP,EUR,TRUMP,USDT,EUR,USDT,0.000000,spot/market/price not ok
TRUMP,EUR,TRUMP,USDC,EUR,USDC,0.000000,spot/market/price not ok
PEPE,EUR,PEPE,USDT,EUR,USDT,0.000000,spot/market/price not ok
PEPE,EUR,PEPE,USDC,EUR,USDC,0.000000,spot/market/price not ok
FARTCOIN,USDC,USDC,USDT,FARTCOIN,USDT,0.010000,
FET,USDC,USDC,USDT,FET,USDT,0.010000,
FF,USDF,USDF,USDT,FF,USDT,0.000000,spot/market/price not ok
FHE,USDC,USDC,USDT,FHE,USDT,0.000000,spot/market/price not ok
FIL,USDC,USDC,USDT,FIL,USDT,0.000000,spot/market/price not ok
FLK,USDC,USDC,USDT,FLK,USDT,0.000000,spot/market/price not ok
FLOCK,USDC,USDC,USDT,FLOCK,USDT,0.000000,spot/market/price not ok
FLOKI,USDC,USDC,USDT,FLOKI,USDT,0.000000,spot/market/price not ok
FTT,USDC,USDC,USDT,FTT,USDT,0.000000,spot/market/price not ok
GAIB,USDC,USDC,USDT,GAIB,USDT,0.000000,spot/market/price not ok
GHIBLI,USDC,USDC,USDT,GHIBLI,USDT,0.000000,spot/market/price not ok
GIGGLE,USDC,USDC,USDT,GIGGLE,USDT,0.000000,spot/market/price not ok
GRIFFAIN,USDC,USDC,USDT,GRIFFAIN,USDT,0.000000,spot/market/price not ok
GUN,USDC,USDC,USDT,GUN,USDT,0.000000,spot/market/price not ok
H,USDC,USDC,USDT,H,USDT,0.000000,spot/market/price not ok
HBAR,USDC,USDC,USDT,HBAR,USDT,0.010000,
HEMI,USDC,USDC,USDT,HEMI,USDT,0.000000,spot/market/price not ok
HOLO,USDC,USDC,USDT,HOLO,USDT,0.000000,spot/market/price not ok
HOME,USDC,USDC,USDT,HOME,USDT,0.000000,spot/market/price not ok
